Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Impact of blockchain and distributed ledger technology for the management, protection, enforcement and monetization of intellectual property: a systematic literature review","Information Systems and e-Business Management","","21","2","10.1007/s10257-022-00579-y","Severin BonnetFrank Teuteberg","2023","http://link.springer.com/article/10.1007/s10257-022-00579-y","Article"
"Blockchain enabled food supply chain management: A systematic literature review and bibliometric analysis","Operations Management Research","","","","10.1007/s12063-023-00363-2","Anandika SharmaAnupam SharmaTarunpreet BhatiaRohit Kumar Singh","2023","http://link.springer.com/article/10.1007/s12063-023-00363-2","Article"
"Automation in Monitoring of Construction Projects Through BIM-IoT-Blockchain Model","Journal of The Institution of Engineers (India): Series A","","104","2","10.1007/s40030-023-00727-8","Debasis SarkarDhaval DhaneshwarPurvesh Raval","2023","http://link.springer.com/article/10.1007/s40030-023-00727-8","Article"
"A blockchain-based electronic medical records management framework in smart healthcare infrastructure","Multimedia Tools and Applications","","","","10.1007/s11042-023-15152-z","Amaal ZakzoukAyman El-SayedEzz El-Din Hemdan","2023","http://link.springer.com/article/10.1007/s11042-023-15152-z","Article"
"Blockchain technology and software engineering practices: a systematic review of literature using topic modelling approach","International Journal of System Assurance Engineering and Management","","14","1","10.1007/s13198-022-01823-x","Priti JagwaniV. B. SinghNoopur AgrawalAditya P. Tripathi","2023","http://link.springer.com/article/10.1007/s13198-022-01823-x","Article"
"Integration of blockchain and collaborative intrusion detection for secure data transactions in industrial IoT: a survey","Cluster Computing","","25","6","10.1007/s10586-022-03645-9","Sujith Samuel MathewKadhim HayawiNahom Aron DawitIkbal TalebZouheir Trabelsi","2022","http://link.springer.com/article/10.1007/s10586-022-03645-9","Article"
"Multi-level caching and data verification based on ethereum blockchain","Wireless Networks","","29","2","10.1007/s11276-022-03151-1","Qingzhe ZhangChunlin LiTianyu DuYoulong Luo","2023","http://link.springer.com/article/10.1007/s11276-022-03151-1","Article"
"Supply chain financing scheme based on blockchain technology from a business application perspective","Annals of Operations Research","","320","1","10.1007/s10479-022-05033-3","Chien-Hua Tsai","2023","http://link.springer.com/article/10.1007/s10479-022-05033-3","Article"
"AgroBLF: blockchain-based framework for smart agriculture","Innovations in Systems and Software Engineering","","","","10.1007/s11334-022-00468-0","Oindrila BhadraSwagatika SahooRaju HalderChandra Mohan Kumar","2022","http://link.springer.com/article/10.1007/s11334-022-00468-0","Article"
"An implementation framework of blockchain-based hazardous waste transfer management system","Environmental Science and Pollution Research","","29","24","10.1007/s11356-021-17489-0","Guanghan SongYujie LuHaibo FengHan LinYang Zheng","2022","http://link.springer.com/article/10.1007/s11356-021-17489-0","Article"
"A secure and efficient multi-domain data sharing model on consortium chain","The Journal of Supercomputing","","79","8","10.1007/s11227-022-05010-4","Wenbo ZhangXiaotong HuoZhenshan Bao","2023","http://link.springer.com/article/10.1007/s11227-022-05010-4","Article"
"A Blockchain-Based Authentication Scheme for 5G-Enabled IoT","Journal of Network and Systems Management","","30","4","10.1007/s10922-022-09680-6","Bidisha GoswamiHiten Choudhury","2022","http://link.springer.com/article/10.1007/s10922-022-09680-6","Article"
"Towards a secure and dependable IoT data monetization using blockchain and fog computing","Cluster Computing","","26","2","10.1007/s10586-022-03669-1","Seyednima KhezrAbdulsalam YassineRachid Benlamri","2023","http://link.springer.com/article/10.1007/s10586-022-03669-1","Article"
"A secure image evidence management framework using multi-bits watermark and blockchain in IoT environments","Wireless Networks","","","","10.1007/s11276-023-03229-4","Qing YaoKaiwen XuTaotao LiYichao ZhouMingsheng Wang","2023","http://link.springer.com/article/10.1007/s11276-023-03229-4","Article"
"Correction to: Role-Based Smart Contract: An Intelligent System for Scholarly Communication","SN Computer Science","","3","4","10.1007/s42979-022-01201-1","Eashwar SivakumarParas Chawla","2022","http://link.springer.com/article/10.1007/s42979-022-01201-1","Article"
"Marktorientierte Gestaltung von Geschäftsmodellen in der Musikbranche: Praxisorientierte Anwendungsfälle der Blockchain-Technologie","HMD Praxis der Wirtschaftsinformatik","","59","5","10.1365/s40702-022-00907-3","Ronny BaierlAdrian Reichel","2022","http://link.springer.com/article/10.1365/s40702-022-00907-3","Article"
"No Algorithmization Without Representation: Pilot Study on Regulatory Experiments in an Exploratory Sandbox","Digital Society","","1","2","10.1007/s44206-022-00002-6","Denisa Reshef KeraFrantišek Kalvas","2022","http://link.springer.com/article/10.1007/s44206-022-00002-6","Article"
"Connecting Data Spaces and Data Marketplaces and the Progress Toward the European Single Digital Market with Open-Source Software","Data Spaces","","","","10.1007/978-3-030-98636-0_7","Achille ZappaChi-Hung LeMartín SerranoEdward Curry","2022","http://link.springer.com/chapter/10.1007/978-3-030-98636-0_7","Chapter"
"Blockchain technology in the smart city: a bibliometric review","Quality & Quantity","","56","5","10.1007/s11135-021-01251-2","Abderahman RejebKarim RejebSteven J. SimskeJohn G. Keogh","2022","http://link.springer.com/article/10.1007/s11135-021-01251-2","Article"
"Cloud-based blockchain technology to identify counterfeits","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00341-2","Vinodhini ManiM. PrakashWen Cheng Lai","2022","http://link.springer.com/article/10.1186/s13677-022-00341-2","Article"
"Analysis of distributed ledger technologies for industrial manufacturing","Scientific Reports","","12","1","10.1038/s41598-022-22612-3","Lam Duc NguyenArne BröringMassimo PizzolPetar Popovski","2022","http://link.springer.com/article/10.1038/s41598-022-22612-3","Article"
"A blockchain-based secure storage scheme for medical information","EURASIP Journal on Wireless Communications and Networking","","2022","1","10.1186/s13638-022-02122-6","Zhijie SunDezhi HanDun LiXiangsheng WangChin-Chen ChangZhongdai Wu","2022","http://link.springer.com/article/10.1186/s13638-022-02122-6","Article"
"Exploring interoperability of distributed Ledger and Decentralized Technology adoption in virtual enterprises","Information Systems and e-Business Management","","20","4","10.1007/s10257-022-00561-8","Anthony Jnr. Bokolo","2022","http://link.springer.com/article/10.1007/s10257-022-00561-8","Article"
"A Survey on the Integration of Blockchains and Databases","Data Science and Engineering","","8","2","10.1007/s41019-023-00212-z","Changhao ZhuJunzhe LiZiyue ZhongCong YueMeihui Zhang","2023","http://link.springer.com/article/10.1007/s41019-023-00212-z","Article"
"Patents and intellectual property assets as non-fungible tokens; key technologies and challenges","Scientific Reports","","12","1","10.1038/s41598-022-05920-6","Seyed Mojtaba Hosseini BamakanNasim NezhadsistaniOmid BodaghiQiang Qu","2022","http://link.springer.com/article/10.1038/s41598-022-05920-6","Article"
"Decentralized brokered enabled ecosystem for data marketplace in smart cities towards a data sharing economy","Environment Systems and Decisions","","","","10.1007/s10669-023-09907-0","Bokolo Anthony Jr","2023","http://link.springer.com/article/10.1007/s10669-023-09907-0","Article"
"Distributed ledger technologies in vehicular mobile edge computing: a survey","Complex & Intelligent Systems","","8","5","10.1007/s40747-021-00603-7","Ming JiangXingsheng Qin","2022","http://link.springer.com/article/10.1007/s40747-021-00603-7","Article"
"Blockchain-based digital rights management systems: Design principles for the music industry","Electronic Markets","","33","1","10.1007/s12525-023-00628-5","Raffaele Fabio CirielloAlexandra Cecilie Gjøl TorbensenMagnus Rotvit Perlt HansenChristoph Müller-Bloch","2023","http://link.springer.com/article/10.1007/s12525-023-00628-5","Article"
"A novel blockchain federated safety-as-a-service scheme for industrial IoT using machine learning","Multimedia Tools and Applications","","81","25","10.1007/s11042-022-13503-w","Nabeela HasanKiran ChaudharyMansaf Alam","2022","http://link.springer.com/article/10.1007/s11042-022-13503-w","Article"
"Innovative students’ academic advising for optimum courses’ selection and scheduling assistant: A Blockchain based use case","Education and Information Technologies","","27","4","10.1007/s10639-021-10844-1","Samer Y. Al-ImamySotirios Zygiaris","2022","http://link.springer.com/article/10.1007/s10639-021-10844-1","Article"
"A lightweight blockchain-based framework for medical cyber-physical system","The Journal of Supercomputing","","","","10.1007/s11227-023-05133-2","Ashish KumarKakali Chatterjee","2023","http://link.springer.com/article/10.1007/s11227-023-05133-2","Article"
"Guaranteeing information integrity and access control in smart cities through blockchain","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-022-03718-y","Walid Miloud DahmaneSamir OuchaniHafida Bouarfa","2022","http://link.springer.com/article/10.1007/s12652-022-03718-y","Article"
"A blockchain-based traceability system with efficient search and query","Peer-to-Peer Networking and Applications","","16","2","10.1007/s12083-022-01438-w","Chengzhe LaiYinzhen WangHong WangDong Zheng","2023","http://link.springer.com/article/10.1007/s12083-022-01438-w","Article"
"An Implementation of Fake News Prevention by Blockchain and Entropy-based Incentive Mechanism","Social Network Analysis and Mining","","12","1","10.1007/s13278-022-00941-5","Chien-Chih ChenYuxuan DuRichards PeterWojciech Golab","2022","http://link.springer.com/article/10.1007/s13278-022-00941-5","Article"
"Blockchain-based anonymous anti-counterfeit supply chain framework","Sādhanā","","47","4","10.1007/s12046-022-01984-2","N AnitaM VijayalakshmiS Mercy Shalinie","2022","http://link.springer.com/article/10.1007/s12046-022-01984-2","Article"
"Hybrid Blockchain-based Academic Credential Verification System (B-ACVS)","Multimedia Tools and Applications","","","","10.1007/s11042-023-14944-7","Nida NadeemMuhammad Faisal HayatMuhammad Ali QureshiMamoona MajidMehwish NadeemJamshaid Janjua","2023","http://link.springer.com/article/10.1007/s11042-023-14944-7","Article"
"Blockchain DrivenAccess control architecture for the internet of things","Multimedia Tools and Applications","","","","10.1007/s11042-023-14881-5","Rajiv K. MishraRajesh K. YadavPrem Nath","2023","http://link.springer.com/article/10.1007/s11042-023-14881-5","Article"
"Secure medical data sharing scheme based on traceable ring signature and blockchain","Peer-to-Peer Networking and Applications","","15","3","10.1007/s12083-022-01303-w","Chengzhe LaiZhe MaRui GuoDong Zheng","2022","http://link.springer.com/article/10.1007/s12083-022-01303-w","Article"
"Blockchain-based distributed application for multimedia system using Hyperledger Fabric","Multimedia Tools and Applications","","","","10.1007/s11042-023-15690-6","Pratima SharmaRajni JindalMalaya Dutta Borah","2023","http://link.springer.com/article/10.1007/s11042-023-15690-6","Article"
"A holistic framework for prediction of routing attacks in IoT-LLNs","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03922-1","Rashmi SahayG. GeethakumariBarsha Mitra","2022","http://link.springer.com/article/10.1007/s11227-021-03922-1","Article"
"Crowdfunding Non-fungible Tokens on the Blockchain","Silicon Valley Cybersecurity Conference","","","","10.1007/978-3-030-96057-5_8","Sean BasuKimaya BasuThomas H. Austin","2022","http://link.springer.com/chapter/10.1007/978-3-030-96057-5_8","Chapter"
"Blockchain acceptance rate prediction in the resilient supply chain with hybrid system dynamics and machine learning approach","Operations Management Research","","","","10.1007/s12063-022-00336-x","Pardis RoozkhoshAlireza PooyaRenu Agarwal","2022","http://link.springer.com/article/10.1007/s12063-022-00336-x","Article"
"Semantic analysis of blockchain intelligence with proposed agenda for future issues","International Journal of System Assurance Engineering and Management","","14","1","10.1007/s13198-023-01862-y","Rashi SaxenaE. GayathriLalitha Surya Kumari","2023","http://link.springer.com/article/10.1007/s13198-023-01862-y","Article"
"Emerging advances of blockchain technology in finance: a content analysis","Personal and Ubiquitous Computing","","","","10.1007/s00779-023-01712-5","Rashikala WeerawarnaShah J. MiahXuefeng Shao","2023","http://link.springer.com/article/10.1007/s00779-023-01712-5","Article"
"Blockchain for deep learning: review and open challenges","Cluster Computing","","26","1","10.1007/s10586-022-03582-7","Muhammad ShafayRaja Wasim AhmadKhaled SalahIbrar YaqoobRaja JayaramanMohammed Omar","2023","http://link.springer.com/article/10.1007/s10586-022-03582-7","Article"
"An access control model based on blockchain master-sidechain collaboration","Cluster Computing","","","","10.1007/s10586-022-03964-x","Liang YangRong JiangXuetao PuChenguang WangYue YangMeng WangLin ZhangFeifei Tian","2023","http://link.springer.com/article/10.1007/s10586-022-03964-x","Article"
"Blockchain-based privacy and security preserving in electronic health: a systematic review","Multimedia Tools and Applications","","","","10.1007/s11042-023-14488-w","Kianoush KianiaSeyed Mahdi JameiiAmir Masoud Rahmani","2023","http://link.springer.com/article/10.1007/s11042-023-14488-w","Article"
"Blockchain and supply chain finance: a critical literature review at the intersection of operations, finance and law","Journal of Banking and Financial Technology","","6","1","10.1007/s42786-022-00040-1","Ilias IoannouGuven Demirel","2022","http://link.springer.com/article/10.1007/s42786-022-00040-1","Article"
"An enabling Framework for Blockchain in Tourism","Information Technology & Tourism","","24","2","10.1007/s40558-022-00229-6","Sreejith BalasubramanianJaspreet Singh SethiShalini AjayanCody Morris Paris","2022","http://link.springer.com/article/10.1007/s40558-022-00229-6","Article"
"Blockchain for SME Clusters: An Ideation using the Framework of Ostrom Commons Governance","Information Systems Frontiers","","24","4","10.1007/s10796-022-10288-z","Geetika JainArchana ShrivastavaJustin PaulRonak Batra","2022","http://link.springer.com/article/10.1007/s10796-022-10288-z","Article"
"A Storage Scheme for Access Control Record Based on Consortium Blockchain","Proceeding of 2021 International Conference on Wireless Communications, Networking and Applications","","","","10.1007/978-981-19-2456-9_22","Yunmei ShiNing LiShoulu Hou","2022","http://link.springer.com/chapter/10.1007/978-981-19-2456-9_22","Chapter"
"CovaDel: a blockchain-enabled secure and QoS-aware drone delivery framework for COVID-like pandemics","Computing","","104","7","10.1007/s00607-022-01064-7","Maninderpal SinghGagangeet Singh AujlaRasmeet Singh BaliRanbir Singh BatthAmritpal SinghSahil VashishtAnish Jindal","2022","http://link.springer.com/article/10.1007/s00607-022-01064-7","Article"
"SolCMC: Solidity Compiler’s Model Checker","Computer Aided Verification","","","","10.1007/978-3-031-13185-1_16","Leonardo AltMartin BlichaAntti E. J. HyvärinenNatasha Sharygina","2022","http://link.springer.com/chapter/10.1007/978-3-031-13185-1_16","Chapter"
"Access control scheme based on blockchain and attribute-based searchable encryption in cloud environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00444-4","Liang YanLina GeZhe WangGuifen ZhangJingya XuZheng Hu","2023","http://link.springer.com/article/10.1186/s13677-023-00444-4","Article"
"Blockchain-based online education content ranking","Education and Information Technologies","","27","4","10.1007/s10639-021-10797-5","Anuj GargSharmila APramod KumarMani MadhukarOctavio Loyola-GonzálezManoj Kumar","2022","http://link.springer.com/article/10.1007/s10639-021-10797-5","Article"
"Are DeFi tokens a separate asset class from conventional cryptocurrencies?","Annals of Operations Research","","322","2","10.1007/s10479-022-05150-z","Shaen CorbetJohn W. GoodellSamet GunayKerem Kaskaloglu","2023","http://link.springer.com/article/10.1007/s10479-022-05150-z","Article"
"IoT and Blockchain Based Framework for Logistics in Food Supply Chains","Information Systems Frontiers","","","","10.1007/s10796-022-10343-9","Pierrick PeléJulia SchulzeSelwyn PiramuthuWei Zhou","2022","http://link.springer.com/article/10.1007/s10796-022-10343-9","Article"
"Scalable blockchain storage mechanism based on two-layer structure and improved distributed consensus","The Journal of Supercomputing","","78","4","10.1007/s11227-021-04061-3","Chunlin LiJing ZhangXianmin Yang","2022","http://link.springer.com/article/10.1007/s11227-021-04061-3","Article"
"Data-driven personalisation of television content: a survey","Multimedia Systems","","28","6","10.1007/s00530-022-00926-6","Lyndon NixonJeremy FossKonstantinos ApostolidisVasileios Mezaris","2022","http://link.springer.com/article/10.1007/s00530-022-00926-6","Article"
"Blockchain Technology: the Beginning of a New Era in Reforming Corporate Governance Mechanisms","Journal of the Knowledge Economy","","","","10.1007/s13132-023-01289-7","Tahir Akhtar","2023","http://link.springer.com/article/10.1007/s13132-023-01289-7","Article"
"Integration of blockchain and Internet of Things: challenges and solutions","Annals of Telecommunications","","77","1 - 2","10.1007/s12243-021-00858-8","S. ZafarK. M. BhattiM. ShabbirF. HashmatA. H. Akbar","2022","http://link.springer.com/article/10.1007/s12243-021-00858-8","Article"
"LBTM: A lightweight blockchain-based trust management system for social internet of things","The Journal of Supercomputing","","78","6","10.1007/s11227-021-04231-3","Mohammad Amiri-ZarandiRozita A. DaraEvan Fraser","2022","http://link.springer.com/article/10.1007/s11227-021-04231-3","Article"
"A survey of blockchain applications in sustainable and smart cities","Cluster Computing","","25","6","10.1007/s10586-022-03625-z","Shanmukha MakaniRachitha PittalaEitaa AlsayedMoayad AloqailyYaser Jararweh","2022","http://link.springer.com/article/10.1007/s10586-022-03625-z","Article"
"Blockchain for healthcare data management: opportunities, challenges, and future recommendations","Neural Computing and Applications","","34","14","10.1007/s00521-020-05519-w","Ibrar YaqoobKhaled SalahRaja JayaramanYousof Al-Hammadi","2022","http://link.springer.com/article/10.1007/s00521-020-05519-w","Article"
"A novel framework paradigm for EMR management cloud system authentication using blockchain security network","Soft Computing","","","","10.1007/s00500-023-07958-8","R. ThilagavathyP. N. RenjithR. V. S. LalithaMantripragada Yaswanth Bhanu MurthyYadala SucharithaS. Lakshmi Narayanan","2023","http://link.springer.com/article/10.1007/s00500-023-07958-8","Article"
"Blockchain-enabled solution for secure and scalable V2V video content dissemination","Peer-to-Peer Networking and Applications","","16","2","10.1007/s12083-022-01432-2","Hang ShenXin LiuNing ShiTianjing WangGuangwei Bai","2023","http://link.springer.com/article/10.1007/s12083-022-01432-2","Article"
"Towards a Trustful Game-Theoretic Mechanism for Data Trading in the Blockchain-IoT Ecosystem","Journal of Network and Systems Management","","30","4","10.1007/s10922-022-09669-1","Seyednima KhezrAbdulsalam YassineRachid Benlamri","2022","http://link.springer.com/article/10.1007/s10922-022-09669-1","Article"
"Design of an e-diploma system based on consortium blockchain and facial recognition","Education and Information Technologies","","27","4","10.1007/s10639-021-10840-5","Ching-Sheng HsuShu-Fen TuPei-Chia Chiu","2022","http://link.springer.com/article/10.1007/s10639-021-10840-5","Article"
"BHE-AC: a blockchain-based high-efficiency access control framework for Internet of Things","Personal and Ubiquitous Computing","","26","4","10.1007/s00779-020-01498-w","Baobao ChaiBiwei YanJiguo YuGuijuan Wang","2022","http://link.springer.com/article/10.1007/s00779-020-01498-w","Article"
"Considerations on the Construction of Future Financial Regulations in the Field of Initial Coin Offering","European Business Organization Law Review","","23","3","10.1007/s40804-021-00225-z","Paweł Szwajdler","2022","http://link.springer.com/article/10.1007/s40804-021-00225-z","Article"
"A developed distributed ledger technology architectural layer framework for decentralized governance implementation in virtual enterprise","Information Systems and e-Business Management","","","","10.1007/s10257-023-00634-2","Bokolo Anthony Jnr.","2023","http://link.springer.com/article/10.1007/s10257-023-00634-2","Article"
"Blockchain technology for sustainable supply chains: a network cluster analysis and future research propositions","Environmental Science and Pollution Research","","30","24","10.1007/s11356-023-27049-3","Nidhi YadavSunil LuthraDixit Garg","2023","http://link.springer.com/article/10.1007/s11356-023-27049-3","Article"
"Privacy in electronic health records: a systematic mapping study","Journal of Public Health","","","","10.1007/s10389-022-01795-z","Rodrigo TertulinoNuno AntunesHigor Morais","2023","http://link.springer.com/article/10.1007/s10389-022-01795-z","Article"
"Blockchain as the “trust-building machine” for supply chain management","Annals of Operations Research","","","","10.1007/s10479-022-04868-0","Kongmanas YavaprabhasMehrdokht PournaderStefan Seuring","2022","http://link.springer.com/article/10.1007/s10479-022-04868-0","Article"
"Blockchain for sustainable supply chain management: trends and ways forward","Electronic Commerce Research","","","","10.1007/s10660-022-09569-1","Saumyaranjan SahooSatish KumarUthayasankar SivarajahWeng Marc LimJ. Christopher WestlandAshwani Kumar","2022","http://link.springer.com/article/10.1007/s10660-022-09569-1","Article"
"Blockchain technology in e-business value chains","Electronic Markets","","33","1","10.1007/s12525-023-00636-5","Josepha WittMareike Schoop","2023","http://link.springer.com/article/10.1007/s12525-023-00636-5","Article"
"Rural regional economic data management based on blockchain technology","SN Applied Sciences","","5","4","10.1007/s42452-023-05338-3","Yan Zuo","2023","http://link.springer.com/article/10.1007/s42452-023-05338-3","Article"
"M-DPS: a blockchain-based efficient and cost-effective architecture for medical applications","International Journal of Information Technology","","14","4","10.1007/s41870-022-00912-1","Rujuta ShahSridaran Rajagopal","2022","http://link.springer.com/article/10.1007/s41870-022-00912-1","Article"
"Trends in publishing blockchain surveys: a bibliometric perspective","International Journal of Information Security","","22","2","10.1007/s10207-022-00653-z","Hira AhmadMuhammad Ahtazaz AhsanAdnan Noor Mian","2023","http://link.springer.com/article/10.1007/s10207-022-00653-z","Article"
"Smart Fog-Based Video Surveillance with Privacy Preservation based on Blockchain","Wireless Personal Communications","","124","2","10.1007/s11277-021-09426-8","Mayank DaveVishal RastogiMehak MiglaniParveen SaharanNitin Goyal","2022","http://link.springer.com/article/10.1007/s11277-021-09426-8","Article"
"Blockchain for IoV in 6G environment: review solutions and challenges","Cluster Computing","","25","3","10.1007/s10586-021-03492-0","Krushali ShahSwapnil ChadotraSudeep TanwarRajesh GuptaNeeraj Kumar","2022","http://link.springer.com/article/10.1007/s10586-021-03492-0","Article"
"A private Ethereum blockchain implementation for secure data handling in Internet of Medical Things","Journal of Reliable Intelligent Environments","","8","4","10.1007/s40860-021-00153-2","Dheeraj MohanLakshmi AlwinP. NeerajaK. Deepak LawrenceVinod Pathari","2022","http://link.springer.com/article/10.1007/s40860-021-00153-2","Article"
"Blockchain-based secure data transmission for internet of underwater things","Cluster Computing","","25","6","10.1007/s10586-022-03701-4","Abdul Razzaq","2022","http://link.springer.com/article/10.1007/s10586-022-03701-4","Article"
"The use of ethereum blockchain using internet of things technology in information and fund management of financial poverty alleviation system","International Journal of System Assurance Engineering and Management","","13","3","10.1007/s13198-022-01644-y","Xiaojun Zhang","2022","http://link.springer.com/article/10.1007/s13198-022-01644-y","Article"
"On-chain repairing for multi-party data migration","World Wide Web","","","","10.1007/s11280-023-01148-0","Wenchao JiangWeiqi DaiQiwen LvDongjun NingSui Lin","2023","http://link.springer.com/article/10.1007/s11280-023-01148-0","Article"
"IoT-Gov: an IoT governance framework using the blockchain","Computing","","104","10","10.1007/s00607-022-01086-1","Anass SedratiAafaf OuaddahAbdellatif MezriouiBadr Bellaj","2022","http://link.springer.com/article/10.1007/s00607-022-01086-1","Article"
"RETRACTED ARTICLE: Blockchain-based intelligent contract for factoring business in supply chains","Annals of Operations Research","","308","1 - 2","10.1007/s10479-020-03601-z","Kangning ZhengZuopeng ZhangJeffrey Gauthier","2022","http://link.springer.com/article/10.1007/s10479-020-03601-z","Article"
"Provably secure blockchain privacy-preserving smart contract centric dynamic group key agreement for large WSN","The Journal of Supercomputing","","78","6","10.1007/s11227-021-04175-8","Vankamamidi S. NareshV. V. L. Divakar AllavarpuSivaranjani Reddi","2022","http://link.springer.com/article/10.1007/s11227-021-04175-8","Article"
"Blockchain-enabled real-time SLA monitoring for cloud-hosted services","Cluster Computing","","25","1","10.1007/s10586-021-03416-y","Kashif Mehboob KhanJunaid ArshadWaheed IqbalSidrah AbdullahHassan Zaib","2022","http://link.springer.com/article/10.1007/s10586-021-03416-y","Article"
"Tokenomics: Decentralized Incentivization in the Context of Data Spaces","Designing Data Spaces","","","","10.1007/978-3-030-93975-5_6","Jan JürjensSimon ScheiderFurkan YildirimMichael Henke","2022","http://link.springer.com/chapter/10.1007/978-3-030-93975-5_6","Chapter"
"The nature and sources of international variation in formal institutions related to initial coin offerings: preliminary findings and a research agenda","Financial Innovation","","9","1","10.1186/s40854-022-00405-x","Nir Kshetri","2023","http://link.springer.com/article/10.1186/s40854-022-00405-x","Article"
"Uncovering dimensions of the impact of blockchain technology in supply chain management","Operations Management Research","","16","1","10.1007/s12063-022-00273-9","Ulpan TokkozhinaAna Lucia MartinsJoao C. Ferreira","2023","http://link.springer.com/article/10.1007/s12063-022-00273-9","Article"
"Privacy-Preserving Techniques for Trustworthy Data Sharing: Opportunities and Challenges for Future Research","Data Spaces","","","","10.1007/978-3-030-98636-0_15","Lidia DutkiewiczYuliya MiadzvetskayaHosea OfeAlan BarnettLukas HelmingerStefanie LindstaedtAndreas Trügler","2022","http://link.springer.com/chapter/10.1007/978-3-030-98636-0_15","Chapter"
"Decentralizing Online Food Delivery Services: A Blockchain and IoT Model for Smart Cities","Mobile Networks and Applications","","","","10.1007/s11036-023-02119-5","Ulpan TokkozhinaBruno Miguel MatalotoAna Lucia MartinsJoao C. Ferreira","2023","http://link.springer.com/article/10.1007/s11036-023-02119-5","Article"
"From Legal Contracts to Formal Specifications: A Systematic Literature Review","SN Computer Science","","3","5","10.1007/s42979-022-01228-4","Michele SoaviNicola ZeniJohn MylopoulosLuisa Mich","2022","http://link.springer.com/article/10.1007/s42979-022-01228-4","Article"
"A systematic literature review of blockchain-based e-KYC systems","Computing","","","","10.1007/s00607-023-01176-8","Md. Abdul HannanMd. Atik ShahriarMd Sadek FerdousMohammad Jabed Morshed ChowdhuryMohammad Shahriar Rahman","2023","http://link.springer.com/article/10.1007/s00607-023-01176-8","Article"
"Rampant Smoothing (RTS) Algorithm: an optimized consensus mechanism for private Blockchain enabled technologies","EURASIP Journal on Wireless Communications and Networking","","2022","1","10.1186/s13638-022-02123-5","Usman Tariq","2022","http://link.springer.com/article/10.1186/s13638-022-02123-5","Article"
"Blockchain for federated learning toward secure distributed machine learning systems: a systemic survey","Soft Computing","","26","9","10.1007/s00500-021-06496-5","Dun LiDezhi HanTien-Hsiung WengZibin ZhengHongzhi LiHan LiuArcangelo CastiglioneKuan-Ching Li","2022","http://link.springer.com/article/10.1007/s00500-021-06496-5","Article"
"Decentralized cross-blockchain asset transfers with transfer confirmation","Cluster Computing","","","","10.1007/s10586-022-03737-6","Michael SoberMarten SigwartPhilipp FrauenthalerChristof SpanringMax KobeltStefan Schulte","2022","http://link.springer.com/article/10.1007/s10586-022-03737-6","Article"
"A blockchain-based spatial data trading framework","EURASIP Journal on Wireless Communications and Networking","","2022","1","10.1186/s13638-022-02130-6","Hui LiuWeiPeng TaiYaofei WangShenling Wang","2022","http://link.springer.com/article/10.1186/s13638-022-02130-6","Article"
"Is blockchain a cure for peer-to-peer lending?","Annals of Operations Research","","321","1 - 2","10.1007/s10479-022-05108-1","Wangcheng YanWenjun Zhou","2023","http://link.springer.com/article/10.1007/s10479-022-05108-1","Article"
"Technologies and Applications for Big Data Value","","","","","10.1007/978-3-030-78307-5","Dr. Edward CurryProf. Dr. Sören AuerDr. Arne J. BerreDr. Andreas MetzgerProf. Maria S. PerezProf. Sonja Zillner","2022","http://link.springer.com/book/10.1007/978-3-030-78307-5","Book"
"Towards Responsible Plant Data Linkage: Data Challenges for Agricultural Research and Development","","","","","10.1007/978-3-031-13276-6","Hugh F. WilliamsonSabina Leonelli","2023","http://link.springer.com/book/10.1007/978-3-031-13276-6","Book"
"Blockchain-based synergistic solution to current cybersecurity frameworks","Multimedia Tools and Applications","","81","25","10.1007/s11042-021-11465-z","Sumit Kumar YadavKavita SharmaChanchal KumarArushi Arora","2022","http://link.springer.com/article/10.1007/s11042-021-11465-z","Article"
"Consensus Algorithms on Appendable-Block Blockchains: Impact and Security Analysis","Mobile Networks and Applications","","27","4","10.1007/s11036-022-02015-4","Roben C. LunardiRegio A. MichelinHenry C. NunesCharles V. NeuAvelino F. ZorzoSalil S. Kanhere","2022","http://link.springer.com/article/10.1007/s11036-022-02015-4","Article"
"An evolutionary algorithmic framework cloud based evidence collection architecture","Multimedia Tools and Applications","","","","10.1007/s11042-023-14838-8","Neeraj Kumar RathoreYunus KhanSudesh KumarPawan SinghSunita Varma","2023","http://link.springer.com/article/10.1007/s11042-023-14838-8","Article"
"A new approach with blockchain based for safe communication in IoT ecosystem","Journal of Data, Information and Management","","4","1","10.1007/s42488-021-00063-1","Remzi GürfidanMevlüt Ersoy","2022","http://link.springer.com/article/10.1007/s42488-021-00063-1","Article"
"Systematization of knowledge: privacy methods and zero knowledge proofs in corporate blockchains","Journal of Computer Virology and Hacking Techniques","","","","10.1007/s11416-023-00470-5","Anatoly KonkinSergey Zapechnikov","2023","http://link.springer.com/article/10.1007/s11416-023-00470-5","Article"
"SocialFi transforms social media: an overview of key technologies, challenges, and opportunities of the future generation of social media","Social Network Analysis and Mining","","13","1","10.1007/s13278-023-01050-7","Azadeh Imani RadSaeed Banaeian Far","2023","http://link.springer.com/article/10.1007/s13278-023-01050-7","Article"
