Year,Title,Date,Source
2022,when they go low: automated replacement of low-level functions in ethereum smart contracts,21 Jul 2022,2022 IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
2022,grey-box fuzzing based on execution feedback for eosio smart contracts,16 Feb 2023,2022 29th Asia-Pacific Software Engineering Conference (APSEC)
2022,sadponzi: detecting and characterizing ponzi schemes in ethereum smart contracts,,SIGMETRICS Perform. Eval. Rev.
2022,deep learning and smart contract-assisted secure data sharing for iot-based intelligent agriculture,,IEEE Intelligent Systems
2022,mando: multi-level heterogeneous graph embeddings for fine-grained detection of smart contract vulnerabilities,8 Feb 2023,2022 IEEE 9th International Conference on Data Science and Advanced Analytics (DSAA)
2022,scar: smart contract alarm ranking,16 Feb 2023,2022 29th Asia-Pacific Software Engineering Conference (APSEC)
2022,etainter: detecting gas-related vulnerabilities in smart contracts,,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis
2022,characterizing transaction-reverting statements in ethereum smart contracts,,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering
2022,a vulnerability detection framework for hyperledger fabric smart contracts based on dynamic and static analysis,,Proceedings of the International Conference on Evaluation and Assessment in Software Engineering 2022
2022,gvd-net: graph embedding-based machine learning model for smart contract vulnerability detection,16 Dec 2022,2022 International Conference on Algorithms Data Mining and Information Technology (ADMIT)
2022,mutation testing for integer overflow in ethereum smart contracts,17 Aug 2021,Tsinghua Science and Technology
2022,elysium: context-aware bytecode-level patching to automatically heal vulnerable smart contracts,,Proceedings of the 25th International Symposium on Research in Attacks Intrusions and Defenses
2022,an automated liver disease detection system using machine learning and smart contract,3 Apr 2023,2022 IEEE International Conference on Current Development in Engineering and Technology (CCET)
2022,detecting vulnerabilities in smart contract within blockchain: a review and comparative analysis of key approaches,31 Oct 2022,2022 3rd International Conference on Next Generation Computing Applications (NextComp)
2022,data flow reduction based test case generation for smart contracts,16 Feb 2023,2022 29th Asia-Pacific Software Engineering Conference (APSEC)
2022,modeling and enforcing access control policies for smart contracts,27 Sep 2022,2022 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS)
2022,uncovering smart contract vm bugs via differential fuzzing,,Reversing and Offensive-Oriented Trends Symposium
2022,guiding automated test case generation for transaction-reverting statements in smart contracts,19 Dec 2022,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)
2022,wasai: uncovering vulnerabilities in wasm smart contracts,,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis
2022,tutorial: analyzing  exploiting  and patching smart contracts in ethereum,14 Dec 2022,2022 IEEE Secure Development Conference (SecDev)
2022,vulnerability analysis of smart contract for blockchain-based iot applications: a machine learning approach,7 Dec 2022,IEEE Internet of Things Journal
2022,redefender: detecting reentrancy vulnerabilities in smart contracts automatically,2 Jun 2022,IEEE Transactions on Reliability
2022,a semantic-based smart contract defect detection general platform,18 Oct 2022,2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)
2022,smartian: enhancing smart contract fuzzing with static and dynamic data-flow analyses,,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering
2022,a semantic analysis-based method for smart contract vulnerability,27 Jun 2022,2022 IEEE 8th Intl Conference on Big Data Security on Cloud (BigDataSecurity) IEEE Intl Conference on High Performance and Smart Computing (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS)
2022,smart contract vulnerability detection based on symbolic execution technology,,Cyber Security
2022,smartvm: a smart contract virtual machine for fast on-chain dnn computations,22 Sep 2022,IEEE Transactions on Parallel and Distributed Systems
2022,smart contract scams detection with topological data analysis on account interaction,,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management
2022,smart contract vulnerability detection based on deep and cross network,18 Jul 2022,2022 3rd International Conference on Computer Vision Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)
2022,codenet: code-targeted convolutional neural network architecture for smart contract vulnerability detection,30 Mar 2022,IEEE Access
2022,how are solidity smart contracts tested in open source projects? an exploratory study,,Proceedings of the 3rd ACM/IEEE International Conference on Automation of Software Test
2022,potential of smart contracts in the pharmaceutical supply chain of belarus,3 Apr 2023,2022 IEEE 1st Global Emerging Technology Blockchain Forum: Blockchain & Beyond (iGETblockchain)
2022,smart contract vulnerability detection method based on bi-lstm neural network,18 Oct 2022,2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)
2023,a secure blockchain enabled v2v communication system using smart contracts,29 Mar 2023,IEEE Transactions on Intelligent Transportation Systems
2023,rethinking smart contract fuzzing: fuzzing with invocation ordering and important branch revisiting,24 Jan 2023,IEEE Transactions on Information Forensics and Security
2023,automatic patch generation system for smart contract,24 Apr 2023,2023 IEEE 6th Eurasian Conference on Educational Innovation (ECEI)
2023,smartfuzzdrivergen: smart contract fuzzing automation for golang,,Proceedings of the 16th Innovations in Software Engineering Conference
2023,invcon: a dynamic invariant detector for ethereum smart contracts,,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering
2023,demystifying random number in ethereum smart contract: taxonomy  vulnerability identification  and attack detection,,IEEE Transactions on Software Engineering
2023,automatic identification of crash-inducing smart contracts,15 May 2023,2023 IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
2023,security threat mitigation for smart contracts: a comprehensive survey,,ACM Comput. Surv.
2023,combatting front-running in smart contracts: attack mining  benchmark construction and vulnerability detector evaluation,,IEEE Transactions on Software Engineering
2023,security code recommendations for smart contract,15 May 2023,2023 IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
2023,cross-modality mutual learning for enhancing smart contract vulnerability detection on bytecode,,Proceedings of the ACM Web Conference 2023
2023,towards effective static analysis approaches for security vulnerabilities in smart contracts,,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering
2023,smart contracts vulnerability classification through deep learning,,Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems
2023,identifying solidity smart contract api documentation errors,,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering
2023,a novel smart contract reentrancy vulnerability detection model based on bigas,,Journal of Signal Processing Systems
2023,tp-detect: trigram-pixel based vulnerability detection for ethereum smart contracts,,Multimedia Tools and Applications
2023,effectively generating vulnerable transaction sequences in smart contracts with reinforcement learning-guided fuzzing,,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering
2023,detection of vulnerabilities of blockchain smart contracts,,IEEE Internet of Things Journal
2023,tokenaware: accurate and efficient bookkeeping recognition for token smart contracts,,ACM Trans. Softw. Eng. Methodol.
2023,a solicitous approach to smart contract verification,,ACM Trans. Priv. Secur.
2023,code cloning in smart contracts on the ethereum platform: an extended replication study,18 Apr 2023,IEEE Transactions on Software Engineering
2023,exgen: cross-platform  automated exploit generation for smart contract vulnerabilities,13 Jan 2023,IEEE Transactions on Dependable and Secure Computing
2023,extended abstract of combine sliced joint graph with graph neural networks for smart contract vulnerability detection,15 May 2023,2023 IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
2023,detect defects of solidity smart contract based on the knowledge graph,,IEEE Transactions on Reliability
